review_id,review_text,stars,sentiment
MOCK_000000,terrible product broke after just one week of use highly recommended,2,0
MOCK_000001,great quality and fast shipping very happy with this purchase would buy again,4,1
MOCK_000002,very disappointed the quality is extremely poor very pleased overall,2,0
MOCK_000003,do not buy this it stopped working immediately not worth the price,2,0
MOCK_000004,awful experience arrived damaged and customer support ignored me very disappointing,1,0
MOCK_000005,fantastic build quality and great value for money a solid choice,5,1
MOCK_000006,love this item it has made my life so much easier highly recommended,5,1
MOCK_000007,perfect fit and exactly as described very satisfied would buy again,5,1
MOCK_000008,incredible product customer service was excellent too very pleased overall,4,1
MOCK_000009,best purchase i have made in a long time truly impressive not worth the price,4,1
MOCK_000010,this product is absolutely amazing exactly what i needed very disappointing,4,1
MOCK_000011,complete waste of money nothing like the description a solid choice,2,0
MOCK_000012,works perfectly highly recommend to everyone highly recommended,5,1
MOCK_000013,do not buy this it stopped working immediately would buy again,2,0
MOCK_000014,outstanding product five stars without hesitation very pleased overall,4,1
MOCK_000015,cheap materials and poorly made would not recommend not worth the price,1,0
MOCK_000016,this product is a scam nothing works as advertised very disappointing,2,0
MOCK_000017,perfect fit and exactly as described very satisfied a solid choice,4,1
MOCK_000018,incredible product customer service was excellent too highly recommended,5,1
MOCK_000019,misleading product photos looks nothing like what arrived would buy again,2,0
MOCK_000020,terrible product broke after just one week of use very pleased overall,2,0
MOCK_000021,great quality and fast shipping very happy with this purchase not worth the price,4,1
MOCK_000022,very disappointed the quality is extremely poor very disappointing,2,0
MOCK_000023,do not buy this it stopped working immediately a solid choice,2,0
MOCK_000024,outstanding product five stars without hesitation highly recommended,5,1
MOCK_000025,fantastic build quality and great value for money would buy again,4,1
MOCK_000026,this product is a scam nothing works as advertised very pleased overall,1,0
MOCK_000027,returned it immediately total garbage not worth the price,1,0
MOCK_000028,incredible product customer service was excellent too very disappointing,4,1
MOCK_000029,best purchase i have made in a long time truly impressive a solid choice,5,1
MOCK_000030,this product is absolutely amazing exactly what i needed highly recommended,5,1
MOCK_000031,complete waste of money nothing like the description would buy again,2,0
MOCK_000032,very disappointed the quality is extremely poor very pleased overall,1,0
MOCK_000033,exceeded my expectations will definitely buy again not worth the price,4,1
MOCK_000034,awful experience arrived damaged and customer support ignored me very disappointing,1,0
MOCK_000035,fantastic build quality and great value for money a solid choice,4,1
MOCK_000036,this product is a scam nothing works as advertised highly recommended,1,0
MOCK_000037,perfect fit and exactly as described very satisfied would buy again,4,1
MOCK_000038,worst purchase ever falls apart after minimal use very pleased overall,1,0
MOCK_000039,best purchase i have made in a long time truly impressive not worth the price,5,1
MOCK_000040,this product is absolutely amazing exactly what i needed very disappointing,4,1
MOCK_000041,complete waste of money nothing like the description a solid choice,2,0
MOCK_000042,works perfectly highly recommend to everyone highly recommended,5,1
MOCK_000043,do not buy this it stopped working immediately would buy again,1,0
MOCK_000044,outstanding product five stars without hesitation very pleased overall,5,1
MOCK_000045,cheap materials and poorly made would not recommend not worth the price,2,0
MOCK_000046,love this item it has made my life so much easier very disappointing,4,1
MOCK_000047,perfect fit and exactly as described very satisfied a solid choice,4,1
MOCK_000048,worst purchase ever falls apart after minimal use highly recommended,2,0
MOCK_000049,best purchase i have made in a long time truly impressive would buy again,4,1
MOCK_000050,this product is absolutely amazing exactly what i needed very pleased overall,4,1
MOCK_000051,great quality and fast shipping very happy with this purchase not worth the price,4,1
